SEQ,SENSOR_CD,SERIAL_NO,ADDR,MAP_X,MAP_Y
74,4024,OC3CL200026,서울특별시 강서구 마곡동 367-11,37.56668094,126.8261217
75,4025,OC3CL200025,서울특별시 강서구 마곡동 727-709,37.56003441,126.8258759
76,4026,OC3CL200027,서울특별시 강서구 마곡동 727-1214,37.55904218,126.8360833
77,4027,OC3CL200046,서울특별시 강서구 등촌3동 78-7,37.56053576,126.8547068
78,4028,OC3CL200030,서울특별시 도봉구 창동 57-11,37.64583144,127.05039
79,4029,OC3CL200104,서울특별시 강북구 수유동 32-2,37.64061679,127.021637
80,4030,OC3CL200100,서울특별시  강북구 번동 95-7,37.61999399,127.0437864
81,4031,OC3CL200031,서울특별시  서대문구 홍제동 286-27,37.59822113,126.9490369
82,4032,OC3CL200096,서울특별시 마포구 망원동 403-5,37.55500134,126.9053084
83,4033,OC3CL200074,서울특별시 강동구 천호동 42,37.54626753,127.1430179
84,4034,OC3CL200033,서울특별시 송파구 신천동 32,37.51214275,127.1043154
85,4035,OC3CL200028,서울특별시 관악구 봉천동 1603-4,37.47915422,126.9537097
86,4036,OC3CL200034,서울특별시 양천구 신정동 994-1,37.52591806,126.8635581
87,4037,OC3CL200037,서울특별시 종로구 가회동 60,37.58142997,126.9846468
88,4038,OC3CL200038,서울특별시 종로구 가회동 33-13,37.58233107,126.983559
89,4039,OC3CL200013,서울특별시 종로구 삼청동 35-63,37.58346942,126.9826224
90,4040,OC3CL200039,서울특별시 종로구 동숭동 50-135,37.57878614,127.0071882
91,4041,OC3CL200040,서울특별시 종로구 이화동 9-498,37.5777396,127.0080332
92,4042,OC3CL200018,서울특별시 성동구 성수동1가 685-285,37.54688198,127.0416428
93,4043,OC3CL200032,서울특별시  성동구 성수동1가 685-700,37.54529625,127.0435571
94,4045,OC3CL200011,서울대공원 발레주차장-1,37.433454,127.009297
95,4046,OC3CL200021,서울특별시 강남구 신사동 581-6,37.52553243,127.0282295
96,4047,OC3CL200012,서울특별시 광진구 화양동 34-75,37.54400194,127.0697313
97,4048,OC3CL200029,서울특별시 광진구 구의동 246-8,37.53768025,127.0852125
98,4049,OC3CL200228,서울특별시 서대문구 홍제동 294-46,37.59116011,126.9430063
99,4050,OC3CL200229,서울특별시 서대문구 현저동 101,37.57294405,126.9555847
100,4051,OC3CL210108,서울특별시 강동구 명일동 312-250,37.551219,127.142892
101,4053,OC3DL2200012,서울특별시 광진구 광장로89,37.54805923,127.1068433
102,4054,OC3CL200010,서울대공원 만남의다리-2,37.434384,127.009725
103,4060,OC3CL200260,서울대공원 장애인주차장-1,37.434877,127.010897
104,4061,OC3CL200261,서울대공원 장애인주차장-2,37.434835,127.010807
105,4062,OC3CL200262,서울대공원 만남의다리-1,37.434471,127.009758
106,4063,OC3CL200263,서울대공원 발레주차장-2,37.433404,127.009263
107,4064,OC3CL200264,서울대공원 스카이리프트,37.432586,127.007536
108,4065,OC3CL200265,서울대공원 탐방로,37.427886,127.011426
109,4070,V02Q1940829,서울특별시 영등포구 당산동 95-1,37.53727135,126.9043173
110,4071,V02Q1940824,서울특별시 강서구 방화동 17-4,37.58481256,126.8215868
111,4072,V02Q1940813,서울특별시 마포구 망원동 403-2,37.55455778,126.895976
112,4073,V02Q1940812,서울특별시 광진구 광장동556,37.53093689,127.0661195
113,4074,V02Q1940816,서울특별시 서초구 반포동 649-1,37.51241208,126.9986828
114,4075,V02Q1940830,서울특별시 용산구 이촌동 376,37.52148869,126.9594472
115,4076,OC3CL200135,서울특별시 강남구 대치동 78-28,37.50182482,127.0708615
116,4077,OC3CL200141,서울특별시 강남구 수서동 720,37.4886613,127.1067158
117,4078,V02Q1940622,서울특별시 마포구 성산동 산 53-27,37.57048042,126.8965735
118,4079,OC3CL200259,서울특별시 마포구 어울마당로 121,37.5555767,126.9235376
119,4080,OC3CL200254,서울특별시 마포구 서교동 353-1,37.55522092,126.9212273
120,4081,V02Q1940881,서울특별시 종로구 동숭동 1-124,37.58037207,127.0030284
121,4082,OC3CL200210,서울특별시 종로구 서린동 151-4,37.56938249,126.9784821
122,4083,OC3CL200307,서울특별시 종로구 동화문로 45,37.57247558,126.991423
123,4084,OC3CL200126,서울특별시 중구 남대문로4가 29,37.55944397,126.9748398
124,4085,OC3CL200127,서울특별시 중구 남대문로5가 1-5,37.56025699,126.975354
125,4086,V02Q1940566,서울특별시 중구 산림동 156-30,37.56723424,126.995185
126,4087,V02Q1940540,서울특별시 중구 을지로2가 181,37.56531098,126.9843718
127,4088,OC3CL200216,서울특별시 성동구 송정동 67-29,37.54884166,127.0604063
128,4089,V02Q1940270,서울특별시 성동구 성수동 1가 8-5,37.54728698,127.0467402
129,4090,V02Q1940744,서울특별시 성동구 성수동2가 34-20,37.54475143,127.0531118
130,4091,V02Q1940387,서울특별시 광진구 화양동 4-20,37.54005404,127.0709793
131,4092,OC3CL200304,서울특별시 동작구 상도동 514,37.49577463,126.9544502
132,4093,OC3CL200305,서울특별시 동작구 상도동 370-2,37.50494775,126.9389661
133,4094,V02Q1940423,서울특별시 서초구 방배동 504-1,37.47665064,126.9826391
134,4095,V02Q1940368,서울특별시 서초구 양재동 23,37.48326071,127.0349794
